dem_req_rate	req_rate_wp_with_naxsi.test.nl	con_rate_wp_with_naxsi.test.nl	min_rep_rate_wp_with_naxsi.test.nl	avg_rep_rate_wp_with_naxsi.test.nl	max_rep_rate_wp_with_naxsi.test.nl	stddev_rep_rate_wp_with_naxsi.test.nl	resp_time_wp_with_naxsi.test.nl	net_io_wp_with_naxsi.test.nl	errors_wp_with_naxsi.test.nl
129	126.1	126.1	102.0	126.8	129.4	7.8	1017.5	705.7	0
130	127.0	127.0	103.2	127.8	130.4	7.8	1010.1	705.1	0
131	128.0	128.0	104.0	128.8	131.8	7.8	1003.5	706.0	0
132	129.0	129.0	105.4	129.8	132.6	7.7	996.7	706.3	0
133	130.0	130.0	106.2	130.8	133.6	7.8	990.3	706.6	0
134	131.0	131.0	107.2	131.8	134.4	7.8	984.4	708.3	0
135	132.0	132.0	108.2	132.8	135.4	7.7	978.8	708.7	0
136	132.9	132.9	109.6	133.8	136.4	7.6	970.5	708.0	0
137	133.9	133.9	110.4	134.8	137.6	7.7	963.8	708.5	0
138	134.9	134.9	111.2	135.8	138.8	7.7	958.4	708.7	0
139	135.9	135.9	112.2	136.8	139.8	7.7	952.9	710.0	0
140	136.9	136.9	113.0	137.8	140.2	7.8	946.0	709.6	0
141	137.8	137.8	114.2	138.8	141.6	7.7	938.5	709.5	0
142	138.8	138.8	115.0	139.8	142.8	7.8	932.8	710.4	0
143	139.8	139.8	116.0	140.8	143.4	7.8	928.1	711.9	0
144	140.8	140.8	117.2	141.8	144.8	7.7	921.6	711.5	0
145	141.7	141.7	118.2	142.8	145.2	7.7	916.5	711.6	0
146	142.7	142.7	119.0	143.8	146.6	7.8	909.1	711.4	0
147	143.7	143.7	120.6	144.8	147.4	7.6	904.6	712.1	0
148	144.7	144.7	121.4	145.8	148.8	7.7	898.1	712.2	0
149	145.6	145.6	122.8	146.8	149.4	7.6	892.7	712.8	0
150	146.6	146.6	123.2	147.8	150.4	7.7	887.5	714.0	0
151	147.6	147.6	124.0	148.8	151.8	7.8	881.3	714.0	0
152	148.6	148.6	125.4	149.8	153.0	7.7	874.7	714.3	0
153	149.5	149.5	126.0	150.8	153.6	7.8	870.6	714.5	0
154	150.6	150.6	127.0	151.8	154.4	7.8	865.7	715.5	0
155	151.5	151.5	128.2	152.8	155.4	7.8	860.6	715.3	0
